srcipinternal,dstipinternal,srcipver,dstipver,date,time,action,protocol,srcip,dstip,srcport,dstport,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path
1,0,ipv4,ipv4,2022-01-29,21:25:32,ALLOW,UDP,10.102.30.5,239.255.255.250,63691,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:39,ALLOW,UDP,10.102.30.5,192.168.1.1,64298,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:39,ALLOW,UDP,10.102.30.5,192.168.1.1,49641,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:48,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:48,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:48,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50480,80,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:57,ALLOW,TCP,10.102.30.5,54.210.200.53,50481,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:57,ALLOW,TCP,10.102.30.5,107.21.249.2,50482,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50483,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50484,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:26:16,ALLOW,UDP,10.102.30.5,192.168.1.1,61675,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:26:17,ALLOW,TCP,10.102.30.5,162.125.6.20,50485,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:26:36,ALLOW,UDP,192.168.56.1,239.255.255.250,61676,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:26:36,ALLOW,UDP,192.168.192.1,239.255.255.250,61677,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:26:36,ALLOW,UDP,192.168.245.1,239.255.255.250,61678,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:26:36,ALLOW,UDP,10.102.30.5,239.255.255.250,61679,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:19,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:19,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:19,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:19,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:32,ALLOW,UDP,192.168.56.1,239.255.255.250,61680,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:32,ALLOW,UDP,192.168.192.1,239.255.255.250,61681,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:32,ALLOW,UDP,192.168.245.1,239.255.255.250,61682,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:32,ALLOW,UDP,10.102.30.5,239.255.255.250,61683,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.192.1,192.168.192.254,68,67,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.245.1,192.168.245.254,68,67,0,0,0,0,0,0,0,0,SEND
1,1,ipv6,ipv6,2022-01-29,21:27:41,ALLOW,ICMP,fe80::65d1:8cf1:bf04:343d,ff02::16,0,0,0,0,0,0,0,143,0,0,SEND
1,1,ipv6,ipv6,2022-01-29,21:27:41,ALLOW,ICMP,fe80::d030:9baa:fde6:d951,ff02::16,0,0,0,0,0,0,0,143,0,0,SEND
1,1,ipv6,ipv6,2022-01-29,21:27:41,ALLOW,ICMP,fe80::998f:ea5c:f41a:9608,ff02::16,0,0,0,0,0,0,0,143,0,0,SEND
1,1,ipv6,ipv6,2022-01-29,21:27:41,ALLOW,ICMP,fe80::c8b8:2af7:4756:2f1,ff02::16,0,0,0,0,0,0,0,143,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,2,192.168.56.1,224.0.0.22,0,0,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,2,192.168.192.1,224.0.0.22,0,0,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,2,192.168.245.1,224.0.0.22,0,0,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,2,10.102.30.5,224.0.0.22,0,0,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,10.102.30.5,239.255.255.250,52352,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,127.0.0.1,239.255.255.250,52353,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,127.0.0.1,239.255.255.250,52353,1900,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.192.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.192.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.192.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.192.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.245.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.245.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:27:41,ALLOW,UDP,192.168.245.1,224.0.0.251,5353,5353,0,0,0,0,0,0,0,0,RECEIVE
